"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"954921755168079875","","","2018-01-21 03:41:02 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","😥 😥 😥 https://t.co/mKkAQHswQZ","","","","https://twitter.com/volvooceanrace/status/954600528381530112"
"954911361317838848","","","2018-01-21 02:59:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sea turtles and other marine creatures mistake plastics and other garbage as food and injest it. 😢Can we all commit to bringing our own recyclable bags to the supermarket this weekend? Who says yes🙌♻️🌎🐢 #turnthetideonplastic #savetheoceans #sdg14 
#globalgoals #SailforSG https://t.co/EApOrHlFkB","","","","https://twitter.com/SingaporeSail/status/954911361317838848/photo/1,https://twitter.com/SingaporeSail/status/954911361317838848/photo/1"
"954868396725817344","","","2018-01-21 00:09:01 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","RT @SingaporeSail: Olympic sailors more than earn the label 'athletes' https://t.co/yti7vHA6R1 #Olympics #Tokyo2020 #Sailing","942909623601942530","906430548641439744","2017-12-19 00:09:07 +0000","https://buff.ly/2BfKVBE,https://buff.ly/2BfKVBE"
"954744834211893248","","","2018-01-20 15:58:01 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","RT @SingaporeSail: 7 ways anyone can become an athlete https://t.co/TPUtNPOI96 #Olympics #Tokyo2020","946409920043405312","906430548641439744","2017-12-28 15:58:03 +0000","https://buff.ly/2l8e5vX,https://buff.ly/2l8e5vX"
"954506015675953152","","","2018-01-20 00:09:02 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","RT @SingaporeSail: Sample Fitness Training Programs for Sailors https://t.co/CIkcUxguso #Fitness #Sailing","943148418716889088","906430548641439744","2017-12-19 15:58:00 +0000","https://buff.ly/2iUubc6,https://buff.ly/2iUubc6"
"954382487077183488","","","2018-01-19 15:58:11 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","RT @SingaporeSail: Excellent post about the difference between excellence and perfection. - Understanding the mindset of high level athlete…","952694074649272320","906430548641439744","2018-01-15 00:09:02 +0000","https://buff.ly/2CWvb7K"
"954301018333827072","954300837592903682","30588028","2018-01-19 10:34:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@JJ_Angelus Thanks for all the support!! https://t.co/77kupVs2WO","","","","https://twitter.com/SingaporeSail/status/954301018333827072/photo/1"
"954299941228371968","","","2018-01-19 10:30:10 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Channeling good vibes for the weekend. Happy Friday everyone! #SailforSG ✌️ https://t.co/BrHVvdtVmC https://t.co/fDf1JkXY4m","","","","https://www.instagram.com/p/BeILNibBk1w/,https://twitter.com/SingaporeSail/status/954299941228371968/photo/1"
"954285039897927682","","","2018-01-19 09:30:57 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Adidas is turning plastic from the ocean into $200 shoes https://t.co/K5HSbGzHmH via @FortuneMagazine","","","","http://for.tn/2ocg0no"
"954275128241729536","","","2018-01-19 08:51:34 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","11 Fitspo Photographs To Bluff Everyone You're An Olympic Athlete https://t.co/G2kt2ifVjo","","","","https://buff.ly/2mR5bDM"
"954269988105289728","","","2018-01-19 08:31:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","9 Habits of Olympic Athletes via @EntrepreneurIND @JeremyBloom11 https://t.co/uaTiL8kkUi","","","","http://entm.ag/2b1y238"
"954170530914947072","","","2018-01-19 01:55:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @SingaporeSail: @asiangames2018 Hi @asiangames2018 you do realise you've drawn Jodie as a windsurfer not an optimist sailor right? 😂😂😍😍…","954170404054089728","906430548641439744","2018-01-19 01:55:26 +0000",""
"954170404054089728","952537383550898177","798814883525447680","2018-01-19 01:55:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@asiangames2018 Hi @asiangames2018 you do realise you've drawn Jodie as a windsurfer not an optimist sailor right? 😂😂😍😍 #asiangames2018 #sailing #sailforSG","","","",""
"954143670051180545","","","2018-01-19 00:09:12 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Doctors say that doing this exercise every day is a “prescription for life” https://t.co/lhs8ySddI7","","","","https://buff.ly/2DCvLZA"
"954020097030574083","","","2018-01-18 15:58:10 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Oceans of adventure: Olympian Annalise Murphy on her greatest ever sailing challenge - Independent.ie https://t.co/UGgHlYy6ph","","","","https://buff.ly/2mv6los"
"953781269657157634","","","2018-01-18 00:09:09 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","The 50 Greatest Female Athletes of the Past 20 Years https://t.co/bwyYhUnqvm","","","","https://buff.ly/2mv53K0"
"953750436028153856","","","2018-01-17 22:06:38 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Singapore qualify for 2018 Youth Olympic Games in the Nacra15 sailing class - Singapore Sailing Federation https://t.co/VR1umqccDC","","","","http://sailing.org.sg/singapore-qualify-2018-youth-olympic-games-nacra15-sailing-class/"
"953710498041667584","","","2018-01-17 19:27:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @SailingFansclub: Sailing: Chia Teck Pin and Sophia Rose Meyers seal Nacra 15 spot for Singapore at this year's Youth Olympic Games - Th…","953037350023528448","991861232","2018-01-15 22:53:05 +0000","http://dlvr.it/QBMG70"
"953710386208911360","","","2018-01-17 19:27:29 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @SailingFansclub: Sailing: Singapore seals Nacra15 slot for 2018 Youth Olympic Games - The Straits Times https://t.co/nQZA1mK3RP","952783671638966272","991861232","2018-01-15 06:05:03 +0000","http://dlvr.it/QBFWkj,http://dlvr.it/QBFWkj"
"953657725640200195","","","2018-01-17 15:58:14 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","How a Positive Mindset Influences Athletic Success https://t.co/BCoGyrlrDj","","","","https://buff.ly/2FLrh3m"
"953602189045346304","","","2018-01-17 12:17:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @SingaporeSail: Awesome primer to Olympic Sailing via @telegraph https://t.co/HKBI445VEH via @TelegraphSport","952426540163215361","906430548641439744","2018-01-14 06:25:57 +0000","http://www.telegraph.co.uk/sailing/2016/02/28/rio-2016-olympics-sailing/?WT.mc_id=tmg_share_tw,http://www.telegraph.co.uk/sailing/2016/02/28/rio-2016-olympics-sailing/?WT.mc_id=tmg_share_tw"
"953537668872273920","","","2018-01-17 08:01:10 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","The sea is our backyard... .
.
.
Featuring 3X SEA Games Gold Medalist Yukie Yokoyama @smallbutkickass and 1X Gold Medalist Cheryl Teo @_cchheerryyll - together they are @sgp470_teamikigai 
#SailforSG #470sailing https://t.co/sFjOB0s0s2 https://t.co/m3qXGNGPig","","","","https://www.instagram.com/p/BeCwj1shR3d/,https://twitter.com/SingaporeSail/status/953537668872273920/photo/1"
"953418841849319424","","","2018-01-17 00:09:00 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","America's Cup: Sailing's Super Bowl outlines modern vision https://t.co/DTTVkYGL8s via @cnn","","","","https://buff.ly/2DsoeMR"
"953295281562451968","","","2018-01-16 15:58:01 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Sailing soon: an Orca-friendly, all-electric car ferry https://t.co/lDNjcCKSYM","","","","https://buff.ly/2DqETjB"
"953064923772289024","","","2018-01-16 00:42:39 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @asiangames2018: As a thirteen-year old gold medalist, Xuan Yi Jodie Lai proves that age is just a number. Go chase your goals now! http…","952537383550898177","798814883525447680","2018-01-14 13:46:24 +0000","https://twitter.com/asiangames2018/status/952537383550898177/photo/1"
"953064790401806336","","","2018-01-16 00:42:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @SingaporeSail: @asiangames2018 Want another fun fact? Sailing is Singapore's #BEST sport in the Asian Games with 7 out of 24 medals in…","953064770667610113","906430548641439744","2018-01-16 00:42:03 +0000",""
"953064770667610113","952537383550898177","798814883525447680","2018-01-16 00:42:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@asiangames2018 Want another fun fact? Sailing is Singapore's #BEST sport in the Asian Games with 7 out of 24 medals in the 2014 Asian Games (and 3 out of 5 Gold medals!) #SailforSG #TeamSingapore #OneTeamSG 🇸🇬⛵️💪","","","",""
"953062494360059904","952537383550898177","798814883525447680","2018-01-16 00:33:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@asiangames2018 Thanks for featuring our Athlete! 😍","","","",""
"953062428127911936","","","2018-01-16 00:32:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Singapore Sailor Jodie Lai was the youngest gold medalist at the Asian Games 2018! #SailforSG #OneTeamSG #TeamSingapore #AsianGames2018 #EnergyofAsia https://t.co/uJD1n95tFn","","","","https://twitter.com/asiangames2018/status/952537383550898177"
"953061974555820032","","","2018-01-16 00:30:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @asiangames2018: Second question: If you can only play one sport for three weeks, would you rather play football or basketball?","952916533990244352","798814883525447680","2018-01-15 14:53:00 +0000",""
"953061959217307649","","","2018-01-16 00:30:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @asiangames2018: Let's play a game called ""Would You Rather"". First question: which sport would you rather watch in the #AsianGames2018?","952898275023110149","798814883525447680","2018-01-15 13:40:27 +0000",""
"953061939311071232","952898275023110149","798814883525447680","2018-01-16 00:30:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@asiangames2018 Sailing! 🇸🇬⛵️","","","",""
"953056470320517120","","","2018-01-16 00:09:04 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","The World's First Smart Boat Can Transform Into A Backpack, A Sailing Boat and More | SnapMunk https://t.co/BlHHlxBmL0","","","","https://buff.ly/2Drhf6A"
"952932942455689216","","","2018-01-15 15:58:12 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Data Supercharges Billion-Dollar Boats in the America's Cup - the World’s Fastest Sailing Race https://t.co/mBXIM0tX2T via @WIRED","","","","https://buff.ly/2CWgYYh"
"952776861255266304","952775028642230272","890572392577122306","2018-01-15 05:38:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@toshichandra Oh wow thanks so much for the message! What class did your husband sail? Nice to meet you! 🇸🇬😍","","","",""
"952763494939545600","","","2018-01-15 04:44:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","💪🙌Singapore finished as the top Asian nation ahead of China at the 2018 Australian Youth Championships in the Nacra15 to qualify for the Youth Olympic Games (YOG), which will be held in Buenos Aires from 6-18 October 2018. 🇸🇬⛵️#SailforSG #OneTeamSG #TeamSingapore https://t.co/hwF5IP68vH","","","","https://twitter.com/SingaporeSail/status/952763494939545600/photo/1"
"952694074649272320","","","2018-01-15 00:09:02 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Excellent post about the difference between excellence and perfection. - Understanding the mindset of high level athletes https://t.co/oESyiTSGZr via @CoachKuschOPEX","","","","https://buff.ly/2CWvb7K"
"952570511372046336","","","2018-01-14 15:58:02 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","How mindset psychology helps athletes come back https://t.co/0LkPl5L8zO","","","","https://buff.ly/2DrpDmD"
"952439445571100673","952439115756191746","3605447353","2018-01-14 07:17:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@3i6qTAUQLWkZ7gT 🙌 🙌 https://t.co/yNDrR1VJV2","","","","https://twitter.com/SingaporeSail/status/952439445571100673/photo/1"
"952436322983170048","","","2018-01-14 07:04:49 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Your destiny isn’t pre-determined. It’s up to YOU. 
With @polarsingapore #chaseyourdestiny #SailforSG https://t.co/C3qZI3Nli0 https://t.co/rWkIzyZlo4","","","","https://www.instagram.com/p/Bd67vJShE1b/,https://twitter.com/SingaporeSail/status/952436322983170048/photo/1"
"952426540163215361","","","2018-01-14 06:25:57 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Awesome primer to Olympic Sailing via @telegraph https://t.co/HKBI445VEH via @TelegraphSport","","","","http://www.telegraph.co.uk/sailing/2016/02/28/rio-2016-olympics-sailing/?WT.mc_id=tmg_share_tw"
"952331681230356480","","","2018-01-14 00:09:00 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","“Sail training is an ideal way to foster bonds between different communities,” she says. “It’s the ultimate leveller. Everyone is thrown into an equally unfamiliar environment. You can see a solid team mentality start to form from day one.” https://t.co/Dm62e3L0wH","","","","https://buff.ly/2mvJg5c"
"952208118318026753","","","2018-01-13 15:58:01 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","“There's a whole bunch of strong, talented, female sailors out there. They're not asking for anyone to hold the door open for them, but they do want it to be unlocked.” #SailforSG - esp in Singapore✌️🙋‍♀️ https://t.co/yVsBSQVPEu","","","","https://buff.ly/2CZKzA3"
"952126073507950592","952125025213124608","822464176564137985","2018-01-13 10:32:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Tayloredresolu1 Begin with end in mind, that's our #1 fave! We're data driven, results oriented. 💪 Other ones are first things first - we believe in prioritising and Seek to Understand, then to be Understood. (In our words, listen first, then listen more!)","","","",""
"952114187336953856","952090927404933121","822464176564137985","2018-01-13 09:44:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Tayloredresolu1 Yes which one of the 7 steps is your favourite?","","","",""
"952010828613586944","","","2018-01-13 02:54:03 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","⚠️Required: Daily dose of vitamin sea⚠️ 📷@niccccccccc #SailforSG #RSX #Windsurfing 🌊✌️ https://t.co/1OZfD3sOtC https://t.co/9vDnkVHpk2","","","","https://www.instagram.com/p/Bd36PdOhdmX/,https://twitter.com/SingaporeSail/status/952010828613586944/photo/1"
"951986393605136384","","","2018-01-13 01:16:57 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Sheboygan named host city for 2018 Para World Sailing Championships https://t.co/pHRcglDDoo","","","","https://buff.ly/2qYVY1w"
